string,weight
Hotel Delavigne,1
Fontaines du Luxembourg,1
"Le Belgrand Hotel Paris Champs Elysees, Tapestry Collection by Hilton",1
Quartier Libre,1
Hotel Lorette,1
Rayz Eiffel,1
Jean-Bart,1
Dauphine St. Germain,1
Bourg Tibourg,1
9Confidentiel,1
Eugenie,1
Le Six,1
Hotel des 2 Continents,1
Hotel des Saints-Pères,1
Millesime,1
La Villa St Germain,1
Hotel Trinite Haussmann,1
Atlantis,1
Mayet,1
Exe Panorama,1
Aiglon,1
Residence des Arts,1
Villa d'Estrees,1
Le 55 Montparnasse,1
Choiseul Opera,1
Hotel des Beaux Arts,1
Monsieur Georges Hotel & Spa,1
Hotel de Fleurie,1
Le Petit Trianon,1
Hotel des Nations Saint-Germain,1
Hotel Indigo Paris - Opera,1
Sainte-Beuve,1
Delambre,1
Danemark,1
Hotel Des Pavillons,1
Hidden Hotel,1
Briard,1
Le Pactole,1
Renoir,1
Hotel de France Quartier-Latin,1
My Home in Paris,1
Le 10 Bis,1
Harvey,1
9Hotel Republique,1
Avenir Hotel,1
B55,1
Hotel Rivoli,1
Neptune,1
Saint-Roch,1
Hotel du Lion d'Or,1
Le Senat,1
Ibis Paris Gare de l'Est 10ème,1
Zoku,1
Relais Christine,1
Hotel des Grands Boulevards,1
Hotel 31,1
Bleu de Grenelle,1
Hotel du Mont Louis,1
Nadaud hotel,1
Hotel de la Gaite,1
Hotel Mazagran,1
Hotel de Saint Germain,1
Icone,1
Hotel De Clermont,1
Lyric Opera,1
Pavillon,1
Reims Hotel,1
Paris eight,1
Hotel Garance,1
Hotel Bradford Elysees - Astotel,1
Le Roch,1
Hotel Declic,1
Okko hotêl,1
Hotel Pullman Montparnasse,1
Au Pacific Hotel,1
Agora hotel,1
La Herse d'Or,1
